name,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG
Super Glider,1,1,1,1,1,1,1,0,2,1,0,1,1
Cloud Glider,0,2,1,1,2,0,1,1,1,1,0,1,2
Wario Wing,2,1,2,0,1,1,0,1,2,1,1,0,1
Waddle Wing,1,1,1,1,1,1,1,0,2,1,0,1,1
Peach Parasol,1,2,2,0,2,0,0,1,1,1,1,0,2
Parachute,0,2,1,1,2,0,1,1,1,1,0,1,2
Parafoil,1,2,2,0,2,0,0,1,1,1,1,0,2
Flower Glider,0,2,1,1,2,0,1,1,1,1,0,1,2
Bowser Kite,1,2,2,0,2,0,0,1,1,1,1,0,2
Plane Glider,2,1,2,0,1,1,0,1,2,1,1,0,1
MKTV Parafoil,1,2,2,0,2,0,0,1,1,1,1,0,2
Gold Glider,2,1,2,0,1,1,0,1,2,1,1,0,1
Hylian Kite,1,1,1,1,1,1,1,0,2,1,0,1,1
Paper Glider,0,2,1,1,2,0,1,1,1,1,0,1,2
